"","POWIERZCHNIA PLONY I ZBIORY MIESZANEK ZBOŻOWYCH OZIMYCH","Powierzchnia w ha","Plony z 1 ha w dt","Zbiory w dt","Powierzchnia","Plony","Zbiory"
"1","P o l s k a",62802,37.5,2354373,61.7,102.5,63.2
"2","Dolnośląskie",549,34.8,19122,65,93.5,60.9
"3","Kujawsko-pomorskie",2652,44,116755,37.2,111.4,41.4
"4","Lubelskie",4088,34.6,141380,44.7,96.6,43.2
"5","Lubuskie",451,29.7,13398,22.6,80.7,18.2
"6","Łódzkie",7091,39.2,277784,59,112,66
"7","Małopolskie",2587,34.1,88306,54.5,96.1,52.4
"8","Mazowieckie",11661,33.9,394803,56.3,93.9,52.8
"9","Opolskie",835,39,32569,33.5,100.5,33.7
"10","Podkarpackie",2156,34.8,74907,61.3,102.4,62.6
"11","Podlaskie",11679,35.4,413683,286.7,106.6,305.8
"12","Pomorskie",3349,33.9,113653,71.4,95,67.9
"13","Śląskie",1236,40,49408,42.5,117.6,50
"14","Świętokrzyskie",1826,36.3,66342,35.4,113.1,40.1
"15","Warmińsko-mazurskie",3128,40.4,126412,87.4,134.7,117.7
"16","Wielkopolskie",8857,45.1,399784,52.3,106.4,55.7
"17","Zachodniopomorskie",658,39.6,26067,34.8,110.3,38.4
